movie-recommender  | INFO:     172.18.0.2:41006 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:43206 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:34710 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:51858 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:47336 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:55330 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:59668 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:52680 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:46230 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:49938 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:45174 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:54614 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:60118 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:49528 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:45082 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:39810 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:46592 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:33968 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:51738 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:57012 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:46786 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:60120 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:49270 - "GET /metrics HTTP/1.1" 200 OK
